item_code,item_name,notion_type,suggested_item_group,details,dance_type,used_programs,quantity,uom,notes,warehouse_site,warehouse_room,image_count,images
A01,绿色古风裙裤(男),A-服装,服装,上衣+裤子,古典舞,,10,套,,第2寺院,A04,2,A01-1.png;A01-2.jpg
A02,绿色古风裙裤(女),A-服装,服装,上衣+裤子,古典舞,,15,套,,第2寺院,A04,2,A02-1.jpg;A02-2.jpg
A03,绿色带纱舞蹈服,A-服装,服装,上衣+裤子,古典舞,愿做菩萨那朵莲https://youtu.be/UGw1dINp4lo,24,套,,第2寺院,A04,2,A03-1.jpg;A03-2.jpg
A04,粉白色半肩裙裤套装,A-服装,服装,白色内搭+粉色外搭+白色裤子+腰带,古典舞,极乐世界是我家https://youtu.be/BXEO7a83wkw,5,件,,第2寺院,A04,1,A04.jpg
A05,白色广袖莲花腰带裙装,A-服装,服装,上衣+裤子+腰带,古典舞,"观音菩萨偈
https://www.damiok.org/?p=1360",10,套,海清袖子,第2寺院,A04,1,A05.jpg
A06,粉白色抹胸裙裤套装,A-服装,服装,粉白色裙装+白色裤子,古典舞,云水禅心https://www.damiok.org/?p=1551,10,套,,第2寺院,A04,1,A06.jpg
A07,蓝白色粉色腰带裙装,A-服装,服装,蓝白色裙装+粉色腰带,古典舞,观世音菩萨https://www.damiok.org/?p=1366,6,套,,第2寺院,A04,1,A07.jpg
A08,纱质广袖裙装,A-服装,服装,披风+裙子+腰带,古典舞,观世音菩萨https://www.damiok.org/?p=1366,2,套,粉：1； 黄：1,第2寺院,A04,2,A08-1.jpg;A08-2.jpg
A09,金蓝色裙裤套装,A-服装,服装,金蓝色上衣+蓝白色裤子,古典舞,盛世佛光https://youtu.be/i7wE0sfk2O0,24,套,,第2寺院,A04,1,A09.jpg
A10,粉色带花秧歌服,A-服装,服装,上衣+裤子,古典舞,开门见喜https://youtu.be/pqVpLvY9Y6I,23,套,Sx3；Mx7；Lx11；XLx2,第2寺院,A04,1,A10.jpg
A11,红白色裙裤套装,A-服装,服装,红色裙装+红色腰带+白色裤子+簪子,古典舞,,10,套,,第2寺院,A04,2,A11-1.jpg;A11-2.jpg
A12,蓝白色水袖套装(女),A-服装,服装,蓝白色裙装+白色裤子+腰带,古典舞,上师颂https://youtu.be/YYE_0A-H_54,6,件,缺：白裤子1件（熊佳琦）腰带1个（郭懋兰）,第2寺院,A04,1,A12.jpg
A13,蓝白色水袖套装(男),A-服装,服装,蓝白色裙装+蓝白色裤子,古典舞,上师颂https://youtu.be/YYE_0A-H_54,3,件,,第2寺院,A04,1,A13.jpg
A14,蓝白色水袖练功服,A-服装,服装,,古典舞,,8,件,上师颂套装应有9件，缺1件,第2寺院,A04,1,A14.jpg
A15,蓝红色敦煌舞套装小号,A-服装,服装,肉色上衣+蓝红色裤子+腰带+飘带,敦煌舞,炉香赞https://youtu.be/nEqkYVcns90,6,套,,第2寺院,A04,1,A15.jpg
A16,黄色敦煌舞套装,A-服装,服装,上衣+裤子+飘带+手环2个,敦煌舞,虔诚献供颂,12,套,,第2寺院,A04,1,A16.jpg
A17,粉色藏服,A-服装,服装,上衣（连衣裙）+腰带,民族舞,佛音,10,套,,第2寺院,A04,1,A17.jpg
A18,红色藏服,A-服装,服装,上衣+裙子+腰带+头饰,民族舞,佛音,5,套,,第2寺院,A04,1,A18.jpg
A19,蓝色大藏服+红裤子,A-服装,服装,上衣+2个腰带（虎皮腰带、蓝色腰带）+红裤子,民族舞,佛音,1,套,,第2寺院,A04,1,A19.jpg
A20,蓝色小藏服,A-服装,服装,连衣裙+腰带+头饰,民族舞,今生我在修佛缘,8,套,,第2寺院,A04,1,A20.jpg
A21,蓝色虎皮藏族舞套装,A-服装,服装,上衣+黄色围巾,民族舞,,4,件,,第2寺院,A04,1,A21.jpg
A22,腰鼓服装(白色),A-服装,服装,白色上衣红色扣子+白色裤子,民舞,山河美,26,套,,第2寺院,A04,1,A22.jpg
A23,腰鼓服装(金色),A-服装,服装,金色上衣红色扣子+金色裤子,民舞,,5,套,,第2寺院,A04,1,A23.jpg
A24,绿色带花秧歌服,A-服装,服装,上衣+裤子,民舞,荷花颂 https://www.damiok.org/?p=1507夏荷,30,套,,第2寺院,A04,1,A24.jpg
A25,白汗衫,A-服装,服装,,民舞,,20,件,,第2寺院,A04,1,A25.jpg
A26,黄色带花秧歌服套装,A-服装,服装,上衣+裤子,民舞,,1,套,（上衣+裤子）,第2寺院,A04,1,A26.jpg
A27,深蓝色红边秧歌服,A-服装,服装,上衣+裤子+头巾,民舞,,12,套,,第2寺院,A04,1,A27.jpg
A28,宽大白裤(似腰鼓服),A-服装,服装,,民舞,,8,条,,第2寺院,A04,1,A28.jpg
