item_code,image_filename,is_primary
A01,A01-1.png,1
A01,A01-2.jpg,0
A02,A02-1.jpg,1
A02,A02-2.jpg,0
A03,A03-1.jpg,1
A03,A03-2.jpg,0
A04,A04.jpg,1
A05,A05.jpg,1
A06,A06.jpg,1
A07,A07.jpg,1
A08,A08-1.jpg,1
A08,A08-2.jpg,0
A09,A09.jpg,1
A10,A10.jpg,1
A11,A11-1.jpg,1
A11,A11-2.jpg,0
A12,A12.jpg,1
A13,A13.jpg,1
A14,A14.jpg,1
A15,A15.jpg,1
A16,A16.jpg,1
A17,A17.jpg,1
A18,A18.jpg,1
A19,A19.jpg,1
A20,A20.jpg,1
A21,A21.jpg,1
A22,A22.jpg,1
A23,A23.jpg,1
A24,A24.jpg,1
A25,A25.jpg,1
A26,A26.jpg,1
A27,A27.jpg,1
A28,A28.jpg,1
A29,A29-1.jpg,1
A29,A29-2.jpg,0
A30,A30.jpg,1
A31,A31-2.jpg,1
A31,A31-3.jpg,0
A31,A31-4.jpg,0
A31,A31-1.jpg,0
A32,A32.jpg,1
A33,A33.jpg,1
A34,A34.jpg,1
A35,A35.jpg,1
A36,A36.jpg,1
A37,A37-1.jpg,1
A37,A37-2.jpg,0
A38,A38.jpg,1
A39,A39.jpg,1
A40,A40.jpg,1
A41,A41.jpg,1
A42,A42-1.jpg,1
A42,A42-2.jpg,0
A43,A43.jpg,1
A44,A44.jpg,1
A45,A45.png,1
A46,A46.jpg,1
A47,A47-1.jpg,1
A47,A47-2.jpg,0
A48,A48.jpg,1
B01,B01.jpg,1
B02,B02.jpg,1
B03,B03.jpg,1
B04,B04.jpg,1
B05,B05.jpg,1
B06,B06.jpg,1
B07,B07.jpg,1
C01,C01.jpg,1
C02,C02.jpg,1
C03,C03.jpg,1
C04,C04.jpg,1
C05,C05.jpg,1
C06,C06-1.jpg,1
C06,C06-2.jpg,0
C07,C07.jpg,1
C08,C08.jpg,1
C09,C09.jpg,1
C10,C10-1.jpg,1
C10,C10-2.jpg,0
C11,C11.jpg,1
C12,C12.jpg,1
C13,C13.jpg,1
C14,C14.jpg,1
C15,C15.jpg,1
C16,C16.jpg,1
C17,C17.jpg,1
C18,C18.jpg,1
D01,D01.jpg,1
D02,D02.jpg,1
D03,D03-1.jpg,1
D03,D03-2.jpg,0
D04,D04.jpg,1
D05,D05-1.jpg,1
D05,D05-2.jpg,0
D06,D06.jpg,1
D07,D07.jpg,1
D08,D08-1.jpg,1
D08,D08-2.jpg,0
D09,D09.jpg,1
D10,D10.jpg,1
D11,D11.jpg,1
D12,D12.jpg,1
D13,D13.jpg,1
D14,D14.jpg,1
D16,D16.jpg,1
D17,D17.jpg,1
D18,D18.jpg,1
D19,D19-1.jpg,1
D19,D19-2.jpg,0
D20,D20.jpg,1
D21,D21.png,1
D22,D22.jpg,1
D23,D23.jpg,1
D15,D15.jpg,1
